List of packages in environment: "/home/wsluser/micromamba/envs/ai4orgchem"

  Name                       Version       Build                 Channel    
──────────────────────────────────────────────────────────────────────────────
  ConfigArgParse             1.7.5         pypi_0                pypi       
  GitPython                  3.1.59        pypi_0                pypi       
  Jinja2                     3.1.6         pypi_0                pypi       
  MarkupSafe                 3.0.3         pypi_0                pypi       
  _openmp_mutex              4.5           20_gnu                conda-forge
  _x86_64-microarch-level    3             3_x86_64_v3           conda-forge
  aiohappyeyeballs           2.7.1         pypi_0                pypi       
  aiohttp                    3.14.3        pypi_0                pypi       
  aiosignal                  1.4.0         pypi_0                pypi       
  annotated-types            0.7.0         pyhd8ed1ab_1          conda-forge
  antlr4-python3-runtime     4.9.3         pypi_0                pypi       
  argcomplete                3.7.0         pyhcf101f3_0          conda-forge
  arpack                     3.9.1         nompi_hf03ea27_102    conda-forge
  ase                        3.29.0        pyhd8ed1ab_1          conda-forge
  attrs                      26.1.0        pyhcf101f3_0          conda-forge
  basis_set_exchange         0.12          pyhd8ed1ab_0          conda-forge
  beautifulsoup4             4.15.0        pypi_0                pypi       
  brotli                     1.2.0         hed03a55_1            conda-forge
  brotli-bin                 1.2.0         hb03c661_1            conda-forge
  bzip2                      1.0.8         hda65f42_9            conda-forge
  c-ares                     1.34.8        h280c20c_1            conda-forge
  ca-certificates            2026.6.17     hbd8a1cb_0            conda-forge
  cairo                      1.18.4        he90730b_1            conda-forge
  cclib                      1.8.1         pyhd8ed1ab_1          conda-forge
  certifi                    2026.7.22     pypi_0                pypi       
  charset-normalizer         3.4.9         pyhd8ed1ab_0          conda-forge
  click                      8.4.2         pypi_0                pypi       
  contourpy                  1.3.3         py312h0a2e395_4       conda-forge
  cpcm-x                     1.1.0         gfortran_ha02e54d_1   conda-forge
  crest                      3.0.2         h8876d29_1            conda-forge
  cuda-bindings              12.9.4        pypi_0                pypi       
  cuda-pathfinder            1.6.0         pypi_0                pypi       
  curl                       8.21.0        heca4667_4            conda-forge
  cycler                     0.12.1        pyhcf101f3_2          conda-forge
  cyrus-sasl                 2.1.28        hac629b4_1            conda-forge
  dftd4                      4.2.0         gfortran_ha02e54d_0   conda-forge
  duckduckgo_search          8.1.1         pypi_0                pypi       
  e3nn                       0.4.4         pypi_0                pypi       
  eigen-abi                  5.0.1.80      hf414acd_0            conda-forge
